Y_dimension(mm),Button,True_depth(m),meas
74.521,0.0,66.27835625,7.95465e-09
74.521,0.0,66.27810625,7.786550000000001e-09
74.521,0.0,66.27785625,8.122875e-09
74.521,0.0,66.27760624999999,8.39936e-09
74.521,0.0,66.27735625,8.336950000000001e-09
74.521,0.0,66.27710625,7.901805e-09
74.521,0.0,66.27685625,7.96639e-09
74.521,0.0,66.27660625,8.30764e-09
74.521,0.0,66.27635624999999,7.705015e-09
74.521,0.0,66.27610625,8.295945e-09
74.521,0.0,66.27585625,7.83554e-09
74.521,0.0,66.27560625,8.010995e-09
74.521,0.0,66.27535625,7.8785e-09
74.521,0.0,66.27510625,8.049195e-09
74.521,0.0,66.27485625,7.27077e-09
74.521,0.0,66.27460624999999,8.05355e-09
74.521,0.0,66.27435625,7.90252e-09
74.521,0.0,66.27410625,7.90031e-09
74.521,0.0,66.27385625,8.03827e-09
74.521,0.0,66.27360625,8.409235e-09
74.521,0.0,66.27335624999999,7.98502e-09
74.521,0.0,66.27310625,7.70978e-09
74.521,0.0,66.27285625,8.06027e-09
74.521,0.0,66.27260625,7.823335000000001e-09
74.521,0.0,66.27235625,7.99354e-09
74.521,0.0,66.27210625,7.95256e-09
74.521,0.0,66.27185625,7.98091e-09
74.521,0.0,66.27160624999999,8.080639999999999e-09
74.521,0.0,66.27135625,8.30341e-09
74.521,0.0,66.27110625,7.995615e-09
74.521,0.0,66.27085625,8.16224e-09
74.521,0.0,66.27060625,7.956145e-09
74.521,0.0,66.27035624999999,7.86553e-09
74.521,0.0,66.27010625,7.52014e-09
74.521,0.0,66.26985625,7.67856e-09
74.521,0.0,66.26960625,8.387550000000001e-09
74.521,0.0,66.26935625,7.80242e-09
74.521,0.0,66.26910625,8.858035e-09
74.521,0.0,66.26885625,7.55838e-09
74.521,0.0,66.26860624999999,7.92983e-09
74.521,0.0,66.26835625,7.97437e-09
74.521,0.0,66.26810625,8.1019e-09
74.521,0.0,66.26785625,7.50329e-09
74.521,0.0,66.26760625,7.715955e-09
74.521,0.0,66.26735624999999,8.091455e-09
74.521,0.0,66.26710625,8.1072e-09
74.521,0.0,66.26685625,8.60046e-09
74.521,0.0,66.26660625,7.968675e-09
74.521,0.0,66.26635625,8.04175e-09
74.521,0.0,66.26610624999999,7.89598e-09
74.521,0.0,66.26585625,8.48469e-09
74.521,0.0,66.26560624999999,7.64251e-09
74.521,0.0,66.26535625,7.761130000000001e-09
74.521,0.0,66.26510625,7.74226e-09
74.521,0.0,66.26485625,8.05357e-09
74.521,0.0,66.26460625,7.652195e-09
74.521,0.0,66.26435624999999,8.01441e-09
74.521,0.0,66.26410625,8.1726e-09
74.521,0.0,66.26385625,6.91765e-09
74.521,0.0,66.26360625,7.938855e-09
74.521,0.0,66.26335625,7.8588e-09
74.521,0.0,66.26310624999999,7.93686e-09
74.521,0.0,66.26285625,7.66122e-09
74.521,0.0,66.26260624999999,7.83013e-09
74.521,0.0,66.26235625,7.436829999999998e-09
74.521,0.0,66.26210625,8.59863e-09
74.521,0.0,66.26185625,7.86149e-09
74.521,0.0,66.26160625,8.510425e-09
74.521,0.0,66.26135624999999,7.711535e-09
74.521,0.0,66.26110625,8.47945e-09
74.521,0.0,66.26085625,7.70909e-09
74.521,0.0,66.26060625,7.617e-09
74.521,0.0,66.26035625,7.89519e-09
74.521,0.0,66.26010624999999,7.73539e-09
74.521,0.0,66.25985625,7.67982e-09
74.521,0.0,66.25960624999999,7.94536e-09
74.521,0.0,66.25935625,8.79954e-09
74.521,0.0,66.25910625,7.85596e-09
74.521,0.0,66.25885625,7.60409e-09
74.521,0.0,66.25860625,7.761675e-09
74.521,0.0,66.25835624999999,7.308765e-09
74.521,0.0,66.25810625,7.66665e-09
74.521,0.0,66.25785625,7.86067e-09
74.521,0.0,66.25760625,8.02676e-09
74.521,0.0,66.25735625,7.638914999999999e-09
74.521,0.0,66.25710624999999,7.71616e-09
74.521,0.0,66.25685625,7.480535e-09
