Y_dimension(mm),Button,True_depth(m),meas
65.677,0.0,69.25925625,2.526875e-05
65.677,0.0,69.25925625,-3.59003e-06
65.677,0.0,69.25925625,-2.611647e-06
65.677,0.0,69.25911521088868,-2.000103e-06
65.677,0.0,69.25893708223471,-1.539796e-06
65.677,0.0,69.25870389704944,-1.18684e-06
65.677,0.0,69.25845136435191,-9.168434e-07
65.677,0.0,69.25812709875672,-6.987539e-07
65.677,0.0,69.25780363970681,-5.121547e-07
65.677,0.0,69.25740453065893,-3.836321e-07
65.677,0.0,69.25702677058361,-2.842135e-07
65.677,0.0,69.2565984612456,-2.086745e-07
65.677,0.0,69.2561656903846,-1.547887e-07
65.677,0.0,69.25574418057026,-1.114095e-07
65.677,0.0,69.2553187001099,-7.745984e-08
65.677,0.0,69.25490708142142,-5.131005e-08
65.677,0.0,69.25448624393186,-3.508467e-08
65.677,0.0,69.25406021156384,-1.63709e-08
65.677,0.0,69.25362871949119,-1.382432e-09
65.677,0.0,69.25321320292623,1.293665e-08
65.677,0.0,69.25279066147726,2.107117e-08
65.677,0.0,69.25236298186024,2.405432e-08
65.677,0.0,69.25193975110477,2.444722e-08
65.677,0.0,69.25153990634367,2.415618e-08
65.677,0.0,69.25110541331662,2.745946e-08
65.677,0.0,69.25068157058874,2.908928e-08
65.677,0.0,69.2502822582625,3.250898e-08
65.677,0.0,69.24986984741817,3.866444e-08
65.677,0.0,69.24945114484223,3.878085e-08
65.677,0.0,69.2490569489124,3.853347e-08
65.677,0.0,69.24863377488451,3.488094e-08
65.677,0.0,69.24820401523515,3.345485e-08
65.677,0.0,69.24778394094511,3.808236e-08
65.677,0.0,69.24741296618603,3.825699e-08
65.677,0.0,69.24699512625315,4.169124e-08
65.677,0.0,69.24656246853841,3.978494e-08
65.677,0.0,69.24612147995475,3.974128e-08
65.677,0.0,69.24573310409086,3.591413e-08
65.677,0.0,69.24531264705186,3.744208e-08
65.677,0.0,69.2448845412416,3.80096e-08
65.677,0.0,69.24446603493328,4.074536e-08
65.677,0.0,69.2440544206485,4.059984e-08
65.677,0.0,69.2436276150024,3.847526e-08
65.677,0.0,69.2431964369249,3.75876e-08
65.677,0.0,69.24277161167092,3.860623e-08
65.677,0.0,69.24235445547966,3.493915e-08
65.677,0.0,69.24193922169553,3.822788e-08
65.677,0.0,69.24152070192392,3.79805e-08
65.677,0.0,69.24109173213681,4.078902e-08
65.677,0.0,69.2406546124169,3.812602e-08
65.677,0.0,69.2402428116392,3.767491e-08
65.677,0.0,69.23981804795406,3.587047e-08
65.677,0.0,69.23942970035047,3.122841e-08
65.677,0.0,69.23904078929614,2.879824e-08
65.677,0.0,69.2386107803326,3.181049e-08
65.677,0.0,69.23818233886168,3.354216e-08
65.677,0.0,69.23776876354042,3.364403e-08
65.677,0.0,69.23734337335745,3.214518e-08
65.677,0.0,69.23693438508948,3.125751e-08
65.677,0.0,69.23653772308116,3.543391e-08
65.677,0.0,69.23609966144912,3.549212e-08
65.677,0.0,69.2356590456919,3.294554e-08
65.677,0.0,69.23524114789431,3.293098e-08
65.677,0.0,69.23485728454727,3.809691e-08
65.677,0.0,69.23443349706974,3.598689e-08
65.677,0.0,69.23400842703407,3.281457e-08
65.677,0.0,69.23357590004578,2.642628e-08
65.677,0.0,69.23315146063632,2.793968e-08
65.677,0.0,69.23272906736939,2.667366e-08
65.677,0.0,69.23230206840793,3.597233e-08
65.677,0.0,69.23187965789727,3.809691e-08
65.677,0.0,69.231466873996,3.744208e-08
65.677,0.0,69.23104611012998,3.259629e-08
65.677,0.0,69.23063298313485,3.271271e-08
65.677,0.0,69.23021769283766,3.317837e-08
65.677,0.0,69.22979231753462,3.172318e-08
65.677,0.0,69.2293963766009,3.106834e-08
65.677,0.0,69.22900094310734,3.303285e-08
65.677,0.0,69.22858441081394,3.034074e-08
