Y_dimension(mm),Button,True_depth(m),meas
66.896,0.0,202.761828125,7.1508249999999994e-09
66.896,0.0,202.761578125,1.65883e-08
66.896,0.0,202.761328125,1.699345e-08
66.896,0.0,202.76107812499998,1.70764e-08
66.896,0.0,202.760828125,1.713345e-08
66.896,0.0,202.760578125,1.7335e-08
66.896,0.0,202.760328125,1.792055e-08
66.896,0.0,202.76007812499998,1.7455900000000002e-08
66.896,0.0,202.75982812499998,1.75574e-08
66.896,0.0,202.759578125,1.79968e-08
66.896,0.0,202.759328125,1.81156e-08
66.896,0.0,202.759078125,1.81062e-08
66.896,0.0,202.75882812499998,1.84224e-08
66.896,0.0,202.75857812499999,1.84411e-08
66.896,0.0,202.758328125,1.8235e-08
66.896,0.0,202.758078125,1.88207e-08
66.896,0.0,202.757828125,1.82812e-08
66.896,0.0,202.75757812499998,1.857075e-08
66.896,0.0,202.757328125,1.85677e-08
66.896,0.0,202.757078125,1.84953e-08
66.896,0.0,202.756828125,1.8491e-08
66.896,0.0,202.756578125,1.87741e-08
66.896,0.0,202.75632812499998,1.897245e-08
66.896,0.0,202.756078125,1.90608e-08
66.896,0.0,202.755828125,1.95136e-08
66.896,0.0,202.755578125,1.950135e-08
66.896,0.0,202.755328125,1.893845e-08
66.896,0.0,202.75507812499998,1.94905e-08
66.896,0.0,202.754828125,1.98072e-08
66.896,0.0,202.754578125,1.948685e-08
66.896,0.0,202.754328125,1.868505e-08
66.896,0.0,202.75407812499998,1.93249e-08
66.896,0.0,202.75382812499998,2.023665e-08
66.896,0.0,202.753578125,1.9482e-08
66.896,0.0,202.753328125,1.96418e-08
66.896,0.0,202.753078125,1.93181e-08
66.896,0.0,202.75282812499998,1.970795e-08
66.896,0.0,202.75257812499999,1.95535e-08
66.896,0.0,202.752328125,1.996825e-08
66.896,0.0,202.752078125,1.92726e-08
66.896,0.0,202.751828125,2.049265e-08
66.896,0.0,202.75157812499998,2.00587e-08
66.896,0.0,202.751328125,2.06625e-08
66.896,0.0,202.751078125,2.05473e-08
66.896,0.0,202.750828125,2.07454e-08
66.896,0.0,202.750578125,2.061875e-08
66.896,0.0,202.75032812499998,2.17017e-08
66.896,0.0,202.750078125,2.0452e-08
66.896,0.0,202.749828125,2.10008e-08
66.896,0.0,202.749578125,2.104215e-08
66.896,0.0,202.749328125,2.094305e-08
66.896,0.0,202.74907812499998,2.08597e-08
66.896,0.0,202.748828125,2.16357e-08
66.896,0.0,202.748578125,2.100425e-08
66.896,0.0,202.748328125,2.12606e-08
66.896,0.0,202.74807812499998,2.24089e-08
66.896,0.0,202.74782812499998,2.19414e-08
66.896,0.0,202.747578125,2.17808e-08
66.896,0.0,202.747328125,2.143395e-08
66.896,0.0,202.747078125,2.15266e-08
66.896,0.0,202.74682812499998,2.139175e-08
66.896,0.0,202.74657812499998,2.30508e-08
66.896,0.0,202.746328125,2.2091600000000002e-08
66.896,0.0,202.746078125,2.20378e-08
66.896,0.0,202.745828125,2.131135e-08
66.896,0.0,202.74557812499998,2.18127e-08
66.896,0.0,202.745328125,2.212915e-08
66.896,0.0,202.745078125,2.05291e-08
66.896,0.0,202.744828125,2.244685e-08
66.896,0.0,202.744578125,2.21118e-08
66.896,0.0,202.74432812499998,2.2392800000000003e-08
66.896,0.0,202.744078125,2.2569e-08
66.896,0.0,202.743828125,2.29838e-08
66.896,0.0,202.743578125,2.260195e-08
66.896,0.0,202.743328125,2.279215e-08
66.896,0.0,202.74307812499998,2.27864e-08
66.896,0.0,202.742828125,2.2996350000000002e-08
66.896,0.0,202.742578125,2.26759e-08
66.896,0.0,202.742328125,2.282045e-08
66.896,0.0,202.742078125,2.36565e-08
66.896,0.0,202.74182812499998,2.6915650000000002e-08
66.896,0.0,202.741578125,2.353255e-08
66.896,0.0,202.741328125,2.363755e-08
66.896,0.0,202.741078125,2.36239e-08
66.896,0.0,202.74082812499998,2.29867e-08
66.896,0.0,202.74057812499998,2.43266e-08
66.896,0.0,202.740328125,2.331385e-08
66.896,0.0,202.740078125,2.41566e-08
66.896,0.0,202.739828125,2.3554900000000006e-08
66.896,0.0,202.73957812499998,2.4586550000000006e-08
66.896,0.0,202.739328125,2.42682e-08
66.896,0.0,202.739078125,2.47128e-08
66.896,0.0,202.738828125,2.45535e-08
66.896,0.0,202.738578125,2.44282e-08
66.896,0.0,202.73832812499998,2.49553e-08
66.896,0.0,202.738078125,2.47329e-08
66.896,0.0,202.737828125,2.491875e-08
66.896,0.0,202.737578125,2.597025e-08
66.896,0.0,202.737328125,2.36523e-08
66.896,0.0,202.73707812499998,2.52103e-08
66.896,0.0,202.736828125,2.540365e-08
66.896,0.0,202.736578125,2.5419e-08
66.896,0.0,202.736328125,2.47163e-08
66.896,0.0,202.736078125,2.54894e-08
66.896,0.0,202.73582812499998,2.472675e-08
66.896,0.0,202.735578125,2.598775e-08
66.896,0.0,202.735328125,2.52223e-08
66.896,0.0,202.735078125,2.46761e-08
66.896,0.0,202.73482812499998,2.541595e-08
66.896,0.0,202.73457812499998,2.51324e-08
66.896,0.0,202.734328125,2.538635e-08
66.896,0.0,202.734078125,2.46466e-08
66.896,0.0,202.733828125,2.443175e-08
66.896,0.0,202.73357812499998,2.52082e-08
66.896,0.0,202.73332812499999,2.471585e-08
66.896,0.0,202.733078125,2.64073e-08
66.896,0.0,202.732828125,2.538865e-08
66.896,0.0,202.732578125,2.54755e-08
66.896,0.0,202.73232812499998,2.504165e-08
66.896,0.0,202.732078125,2.56217e-08
66.896,0.0,202.731828125,2.5102e-08
66.896,0.0,202.731578125,2.573625e-08
66.896,0.0,202.731328125,2.54424e-08
66.896,0.0,202.73107812499998,2.54406e-08
66.896,0.0,202.730828125,2.56668e-08
66.896,0.0,202.730578125,2.615065e-08
66.896,0.0,202.730328125,2.47963e-08
66.896,0.0,202.730078125,2.51179e-08
66.896,0.0,202.72982812499998,2.641115e-08
66.896,0.0,202.729578125,2.54473e-08
66.896,0.0,202.729328125,2.37579e-08
66.896,0.0,202.729078125,2.56945e-08
66.896,0.0,202.72882812499998,2.599405e-08
66.896,0.0,202.72857812499998,2.572445e-08
66.896,0.0,202.728328125,2.52331e-08
66.896,0.0,202.728078125,2.52191e-08
66.896,0.0,202.727828125,2.57763e-08
66.896,0.0,202.72757812499998,2.624185e-08
66.896,0.0,202.72732812499999,2.58694e-08
66.896,0.0,202.727078125,2.57349e-08
66.896,0.0,202.726828125,2.67e-08
66.896,0.0,202.726578125,2.569245e-08
66.896,0.0,202.72632812499998,2.64572e-08
66.896,0.0,202.726078125,2.6574700000000002e-08
66.896,0.0,202.725828125,2.69307e-08
66.896,0.0,202.725578125,2.587775e-08
66.896,0.0,202.725328125,2.61848e-08
66.896,0.0,202.72507812499998,2.582935e-08
66.896,0.0,202.724828125,2.68261e-08
66.896,0.0,202.724578125,2.7006e-08
66.896,0.0,202.724328125,2.44326e-08
66.896,0.0,202.724078125,2.65054e-08
66.896,0.0,202.72382812499998,2.642545e-08
66.896,0.0,202.723578125,2.59454e-08
66.896,0.0,202.723328125,2.62073e-08
66.896,0.0,202.723078125,2.858165e-08
66.896,0.0,202.72282812499998,2.60995e-08
66.896,0.0,202.72257812499998,2.60583e-08
66.896,0.0,202.722328125,2.64296e-08
66.896,0.0,202.722078125,2.65449e-08
66.896,0.0,202.721828125,2.557265e-08
66.896,0.0,202.72157812499998,2.5917650000000002e-08
66.896,0.0,202.72132812499999,2.53625e-08
66.896,0.0,202.721078125,2.54615e-08
66.896,0.0,202.720828125,2.66758e-08
66.896,0.0,202.720578125,2.660465e-08
66.896,0.0,202.72032812499998,2.66796e-08
66.896,0.0,202.720078125,2.594345e-08
66.896,0.0,202.719828125,2.632065e-08
66.896,0.0,202.719578125,2.59272e-08
66.896,0.0,202.719328125,2.60689e-08
66.896,0.0,202.71907812499998,2.58645e-08
66.896,0.0,202.718828125,2.58919e-08
66.896,0.0,202.718578125,2.51688e-08
66.896,0.0,202.718328125,2.61509e-08
66.896,0.0,202.718078125,2.56531e-08
66.896,0.0,202.71782812499998,2.52547e-08
66.896,0.0,202.717578125,2.557935e-08
66.896,0.0,202.717328125,2.54264e-08
66.896,0.0,202.717078125,2.533735e-08
66.896,0.0,202.71682812499998,2.5341250000000002e-08
66.896,0.0,202.71657812499998,2.59058e-08
66.896,0.0,202.716328125,2.52718e-08
66.896,0.0,202.716078125,2.710855e-08
66.896,0.0,202.715828125,2.513665e-08
66.896,0.0,202.71557812499998,2.54046e-08
66.896,0.0,202.71532812499998,2.463605e-08
66.896,0.0,202.715078125,2.3323e-08
66.896,0.0,202.714828125,2.345255e-08
66.896,0.0,202.714578125,2.4136550000000002e-08
66.896,0.0,202.71432812499998,2.37299e-08
66.896,0.0,202.714078125,2.36933e-08
66.896,0.0,202.713828125,2.34631e-08
66.896,0.0,202.713578125,2.261305e-08
66.896,0.0,202.713328125,2.33647e-08
66.896,0.0,202.71307812499998,2.2877150000000002e-08
66.896,0.0,202.712828125,2.239315e-08
66.896,0.0,202.712578125,2.32602e-08
66.896,0.0,202.712328125,2.33726e-08
66.896,0.0,202.712078125,2.353755e-08
66.896,0.0,202.71182812499998,2.264785e-08
66.896,0.0,202.711578125,2.2439e-08
66.896,0.0,202.711328125,2.44712e-08
66.896,0.0,202.711078125,2.4259e-08
66.896,0.0,202.710828125,2.230035e-08
66.896,0.0,202.71057812499998,2.12766e-08
66.896,0.0,202.710328125,2.162945e-08
66.896,0.0,202.710078125,2.157975e-08
66.896,0.0,202.709828125,2.12069e-08
66.896,0.0,202.70957812499998,2.13119e-08
66.896,0.0,202.70932812499998,2.029915e-08
66.896,0.0,202.709078125,2.121295e-08
66.896,0.0,202.708828125,2.434535e-08
66.896,0.0,202.708578125,2.10393e-08
66.896,0.0,202.70832812499998,2.27439e-08
66.896,0.0,202.708078125,2.1040750000000006e-08
66.896,0.0,202.707828125,2.09485e-08
66.896,0.0,202.707578125,2.01894e-08
66.896,0.0,202.707328125,2.0306950000000002e-08
66.896,0.0,202.70707812499998,2.05973e-08
66.896,0.0,202.706828125,2.010905e-08
66.896,0.0,202.706578125,2.12981e-08
66.896,0.0,202.706328125,2.155145e-08
66.896,0.0,202.706078125,2.03786e-08
66.896,0.0,202.70582812499998,2.151485e-08
66.896,0.0,202.705578125,1.9999e-08
66.896,0.0,202.705328125,2.04736e-08
66.896,0.0,202.705078125,1.94398e-08
66.896,0.0,202.704828125,2.02281e-08
66.896,0.0,202.70457812499998,2.01727e-08
66.896,0.0,202.704328125,1.97738e-08
66.896,0.0,202.704078125,2.03599e-08
66.896,0.0,202.703828125,2.235915e-08
66.896,0.0,202.70357812499998,1.93973e-08
66.896,0.0,202.70332812499998,2.00103e-08
66.896,0.0,202.703078125,2.003445e-08
66.896,0.0,202.702828125,1.96813e-08
66.896,0.0,202.702578125,2.01704e-08
66.896,0.0,202.70232812499998,1.944705e-08
66.896,0.0,202.70207812499999,1.99345e-08
66.896,0.0,202.701828125,2.05689e-08
66.896,0.0,202.701578125,1.95765e-08
66.896,0.0,202.701328125,2.00824e-08
66.896,0.0,202.70107812499998,1.957975e-08
66.896,0.0,202.700828125,2.01399e-08
66.896,0.0,202.700578125,1.93004e-08
66.896,0.0,202.700328125,1.948045e-08
66.896,0.0,202.700078125,1.906265e-08
66.896,0.0,202.69982812499998,1.838625e-08
66.896,0.0,202.699578125,1.78274e-08
66.896,0.0,202.699328125,1.73603e-08
66.896,0.0,202.699078125,2.03301e-08
66.896,0.0,202.698828125,1.926215e-08
66.896,0.0,202.69857812499998,1.94445e-08
66.896,0.0,202.698328125,1.857575e-08
66.896,0.0,202.698078125,1.8841100000000002e-08
66.896,0.0,202.697828125,1.98386e-08
66.896,0.0,202.69757812499998,1.87754e-08
66.896,0.0,202.69732812499998,1.88877e-08
66.896,0.0,202.697078125,1.873305e-08
66.896,0.0,202.696828125,1.74462e-08
66.896,0.0,202.696578125,1.8169850000000002e-08
66.896,0.0,202.69632812499998,1.80845e-08
66.896,0.0,202.69607812499999,1.779955e-08
66.896,0.0,202.695828125,1.81865e-08
66.896,0.0,202.695578125,1.84007e-08
66.896,0.0,202.695328125,1.861935e-08
66.896,0.0,202.69507812499998,1.73257e-08
66.896,0.0,202.694828125,1.758865e-08
66.896,0.0,202.694578125,1.76119e-08
66.896,0.0,202.694328125,1.765645e-08
66.896,0.0,202.694078125,1.75418e-08
66.896,0.0,202.69382812499998,1.78415e-08
66.896,0.0,202.693578125,1.7336950000000002e-08
66.896,0.0,202.693328125,1.741825e-08
66.896,0.0,202.693078125,1.76195e-08
66.896,0.0,202.692828125,1.79373e-08
66.896,0.0,202.69257812499998,1.55684e-08
66.896,0.0,202.692328125,1.66227e-08
66.896,0.0,202.692078125,1.714e-08
66.896,0.0,202.691828125,1.67387e-08
66.896,0.0,202.69157812499998,1.5415e-08
66.896,0.0,202.69132812499998,1.7871549999999998e-08
66.896,0.0,202.691078125,1.7843350000000002e-08
66.896,0.0,202.690828125,1.65099e-08
66.896,0.0,202.690578125,1.6423750000000002e-08
66.896,0.0,202.69032812499998,1.6462550000000002e-08
66.896,0.0,202.69007812499999,1.62815e-08
66.896,0.0,202.689828125,1.6499150000000006e-08
66.896,0.0,202.689578125,1.65094e-08
66.896,0.0,202.689328125,1.697235e-08
66.896,0.0,202.68907812499998,1.68647e-08
66.896,0.0,202.688828125,1.65778e-08
66.896,0.0,202.688578125,1.642325e-08
66.896,0.0,202.688328125,1.6183400000000002e-08
66.896,0.0,202.688078125,1.65102e-08
66.896,0.0,202.68782812499998,1.55629e-08
66.896,0.0,202.687578125,1.615315e-08
66.896,0.0,202.687328125,1.63035e-08
66.896,0.0,202.687078125,1.63446e-08
66.896,0.0,202.686828125,1.60593e-08
66.896,0.0,202.68657812499998,1.89704e-08
66.896,0.0,202.686328125,1.54054e-08
66.896,0.0,202.686078125,1.6771e-08
66.896,0.0,202.685828125,1.66841e-08
66.896,0.0,202.68557812499998,1.55079e-08
66.896,0.0,202.68532812499998,1.64499e-08
66.896,0.0,202.685078125,1.62712e-08
66.896,0.0,202.684828125,1.42482e-08
66.896,0.0,202.684578125,1.670225e-08
66.896,0.0,202.68432812499998,1.588385e-08
66.896,0.0,202.68407812499998,1.65774e-08
66.896,0.0,202.683828125,1.686e-08
66.896,0.0,202.683578125,1.71964e-08
66.896,0.0,202.683328125,1.55523e-08
66.896,0.0,202.68307812499998,1.625905e-08
66.896,0.0,202.682828125,1.45217e-08
