Y_dimension(mm),Button,True_depth(m),meas
58.839,0.0,206.6874859375,2.870649e-05
58.839,0.0,206.6874859375,-3.033347e-07
58.839,0.0,206.6874859375,5.92132e-07
58.839,0.0,206.68732524825987,1.152323e-06
58.839,0.0,206.68714153744838,1.582841e-06
58.839,0.0,206.686920967584,1.914537e-06
58.839,0.0,206.68665713099531,2.15332e-06
58.839,0.0,206.68635882083672,1.931694e-06
58.839,0.0,206.68601223492936,1.900291e-06
58.839,0.0,206.6856313380092,1.756838e-06
58.839,0.0,206.6851707426207,1.806038e-06
58.839,0.0,206.68477482743594,2.080793e-06
58.839,0.0,206.6843614441024,2.140092e-06
58.839,0.0,206.68393957206857,2.143861e-06
58.839,0.0,206.68351227459362,2.095403e-06
58.839,0.0,206.6830739346331,2.130735e-06
58.839,0.0,206.68265223934318,1.987457e-06
58.839,0.0,206.68223961660195,1.780179e-06
58.839,0.0,206.6818323715878,1.643464e-06
58.839,0.0,206.68142859592714,1.812208e-06
58.839,0.0,206.68100252402002,2.017885e-06
58.839,0.0,206.6806029683113,1.928027e-06
58.839,0.0,206.6801800161385,1.807159e-06
58.839,0.0,206.6797361319441,1.763838e-06
58.839,0.0,206.6793422123902,1.862209e-06
58.839,0.0,206.67894325573505,1.912078e-06
58.839,0.0,206.67850998140196,1.872031e-06
58.839,0.0,206.67811027358172,2.125147e-06
58.839,0.0,206.67768051945663,2.102955e-06
58.839,0.0,206.67726220777143,2.367713e-06
58.839,0.0,206.67684470562818,2.428467e-06
58.839,0.0,206.67642336813654,2.405766e-06
58.839,0.0,206.67600572676434,2.204455e-06
58.839,0.0,206.67559049022287,1.786684e-06
58.839,0.0,206.6751680238258,1.656765e-06
58.839,0.0,206.67472036227568,2.292814e-06
58.839,0.0,206.67431166857506,2.478671e-06
58.839,0.0,206.67389122484138,2.676883e-06
58.839,0.0,206.6734730793288,2.480141e-06
58.839,0.0,206.67304559444682,2.163084e-06
58.839,0.0,206.6726182621969,1.935725e-06
58.839,0.0,206.67222981644,1.83504e-06
58.839,0.0,206.6717795831064,1.741573e-06
58.839,0.0,206.6713808917493,1.802488e-06
58.839,0.0,206.67099355447385,2.023779e-06
58.839,0.0,206.67055594806234,2.071043e-06
58.839,0.0,206.67014844886592,1.932349e-06
58.839,0.0,206.66971409088322,1.898909e-06
58.839,0.0,206.669295488566,1.770168e-06
58.839,0.0,206.66889827228013,1.793116e-06
58.839,0.0,206.6685047092848,1.747801e-06
58.839,0.0,206.66806483960775,2.090703e-06
58.839,0.0,206.6676701502384,2.227229e-06
58.839,0.0,206.66723516543598,2.121771e-06
58.839,0.0,206.6668001291754,2.015164e-06
58.839,0.0,206.66640356153906,1.699125e-06
58.839,0.0,206.6659769570398,1.817942e-06
58.839,0.0,206.6655474681722,1.99904e-06
58.839,0.0,206.6651518899836,2.007582e-06
58.839,0.0,206.66470269246764,2.216999e-06
58.839,0.0,206.66428336730758,2.22266e-06
58.839,0.0,206.66385329053963,2.397806e-06
58.839,0.0,206.66346963446745,2.458415e-06
58.839,0.0,206.6630426240413,2.940345e-06
58.839,0.0,206.6626089598574,2.592657e-06
58.839,0.0,206.66218323332652,2.47093e-06
58.839,0.0,206.66174733482953,2.392349e-06
58.839,0.0,206.6613719888091,2.505272e-06
58.839,0.0,206.66095095697727,2.823173e-06
58.839,0.0,206.66051900831627,2.659668e-06
58.839,0.0,206.6601246988882,2.656816e-06
58.839,0.0,206.6596904236597,2.351211e-06
58.839,0.0,206.65929445934734,2.778761e-06
58.839,0.0,206.6588779864091,2.739966e-06
58.839,0.0,206.65846770506548,2.268542e-06
58.839,0.0,206.6580396316049,2.501125e-06
58.839,0.0,206.6576155506922,2.927933e-06
58.839,0.0,206.65721581651272,3.143141e-06
58.839,0.0,206.65678693116416,2.888148e-06
58.839,0.0,206.65637301712468,3.046604e-06
58.839,0.0,206.65593852008033,3.232155e-06
58.839,0.0,206.65552732369974,3.265581e-06
58.839,0.0,206.6550919267376,3.258247e-06
58.839,0.0,206.65466067304166,3.50397e-06
58.839,0.0,206.6542683569534,3.455993e-06
58.839,0.0,206.6538453534452,3.295776e-06
58.839,0.0,206.6534180590786,3.159541e-06
58.839,0.0,206.65299782150345,3.543828e-06
58.839,0.0,206.65256217756024,3.385154e-06
58.839,0.0,206.65216414124748,3.353256e-06
58.839,0.0,206.65173784672677,2.671426e-06
58.839,0.0,206.6513339215668,2.53084e-06
58.839,0.0,206.65090546750196,2.657878e-06
58.839,0.0,206.65050605488724,3.428664e-06
58.839,0.0,206.65006986098,3.392575e-06
58.839,0.0,206.64967232600213,3.406443e-06
58.839,0.0,206.64923722254946,3.335459e-06
58.839,0.0,206.64884113018454,3.146793e-06
58.839,0.0,206.64842528547865,2.80836e-06
58.839,0.0,206.64802059239472,2.644432e-06
58.839,0.0,206.64759151472717,3.070381e-06
58.839,0.0,206.64719337934548,3.011126e-06
58.839,0.0,206.64676585501087,3.017616e-06
58.839,0.0,206.646336948486,2.97527e-06
58.839,0.0,206.6459238536247,2.840854e-06
58.839,0.0,206.64549695499915,2.858578e-06
58.839,0.0,206.6450722172156,2.718458e-06
58.839,0.0,206.64464113295236,2.98323e-06
58.839,0.0,206.6442336267735,3.002337e-06
58.839,0.0,206.64381448618846,3.059162e-06
58.839,0.0,206.64338871303215,2.769331e-06
58.839,0.0,206.64298784926925,2.696353e-06
58.839,0.0,206.6425228213435,2.445173e-06
58.839,0.0,206.64214570492268,2.539935e-06
58.839,0.0,206.64171126455153,3.046982e-06
58.839,0.0,206.64128842150376,3.063367e-06
58.839,0.0,206.64088704343976,3.069625e-06
58.839,0.0,206.64049108647407,2.834218e-06
58.839,0.0,206.6400550933324,2.805114e-06
58.839,0.0,206.63964272662795,2.976914e-06
58.839,0.0,206.63921746509706,3.070425e-06
58.839,0.0,206.63881556152634,3.179637e-06
58.839,0.0,206.63838004967846,3.318914e-06
58.839,0.0,206.63798178271142,3.124587e-06
58.839,0.0,206.63756940633087,2.667424e-06
58.839,0.0,206.63711813526686,2.207555e-06
58.839,0.0,206.6367171326843,2.789617e-06
58.839,0.0,206.63631522784596,3.089648e-06
58.839,0.0,206.63587730332202,3.068475e-06
58.839,0.0,206.63544242085527,2.619941e-06
58.839,0.0,206.63503029803962,2.161119e-06
58.839,0.0,206.63461204875742,2.561472e-06
58.839,0.0,206.63419666701122,2.898087e-06
58.839,0.0,206.6337609343117,2.774832e-06
58.839,0.0,206.63336077693083,2.241926e-06
58.839,0.0,206.63292430692067,2.256565e-06
58.839,0.0,206.63252081103607,2.420798e-06
58.839,0.0,206.6320942497141,2.774817e-06
58.839,0.0,206.6316727383037,2.595669e-06
58.839,0.0,206.6312497912746,2.464469e-06
58.839,0.0,206.63083066381174,2.465807e-06
58.839,0.0,206.63043074007413,2.388682e-06
58.839,0.0,206.63002775932733,2.257206e-06
58.839,0.0,206.629615090199,2.14373e-06
58.839,0.0,206.62919706373665,2.156914e-06
58.839,0.0,206.6287612206331,2.195535e-06
58.839,0.0,206.62836326195162,2.104411e-06
58.839,0.0,206.62796594684562,2.334215e-06
58.839,0.0,206.62755461235875,2.202403e-06
58.839,0.0,206.6271086996129,1.917419e-06
58.839,0.0,206.62670135391872,1.804845e-06
58.839,0.0,206.6262693613302,1.553621e-06
58.839,0.0,206.62585392513182,1.487133e-06
58.839,0.0,206.62543031541819,1.595152e-06
58.839,0.0,206.62500565150467,2.049128e-06
58.839,0.0,206.6245869562926,2.17394e-06
58.839,0.0,206.62416314244166,1.744658e-06
58.839,0.0,206.62373155404921,1.432927e-06
58.839,0.0,206.62333664452555,1.302469e-06
58.839,0.0,206.6229025184471,1.450418e-06
58.839,0.0,206.62250673793915,1.44502e-06
58.839,0.0,206.62205950254415,1.358596e-06
58.839,0.0,206.62164529106016,1.329448e-06
58.839,0.0,206.62121683586824,1.354769e-06
58.839,0.0,206.6208197637008,1.220833e-06
58.839,0.0,206.62041631251932,1.256587e-06
58.839,0.0,206.61998884793312,1.254724e-06
58.839,0.0,206.61957566840763,1.218272e-06
58.839,0.0,206.61916632100255,1.077467e-06
58.839,0.0,206.6187195518124,9.965006e-07
58.839,0.0,206.61832013138476,1.006832e-06
58.839,0.0,206.6179336913023,1.274486e-06
58.839,0.0,206.6174933512508,1.224878e-06
58.839,0.0,206.61707953012532,1.218636e-06
58.839,0.0,206.61665908230734,1.215565e-06
58.839,0.0,206.61622576186724,1.350563e-06
58.839,0.0,206.61582499191192,1.490975e-06
58.839,0.0,206.61539074766293,1.848108e-06
58.839,0.0,206.61499294982764,1.831431e-06
58.839,0.0,206.61456322897658,1.749242e-06
58.839,0.0,206.61413187664874,1.681765e-06
58.839,0.0,206.6137023945661,1.795954e-06
58.839,0.0,206.61329863411444,1.900087e-06
58.839,0.0,206.61285572867882,2.227403e-06
58.839,0.0,206.61246694655537,2.276545e-06
58.839,0.0,206.61202812640923,2.319357e-06
58.839,0.0,206.61161472881287,2.23337e-06
58.839,0.0,206.61119940621234,1.886452e-06
58.839,0.0,206.61079116909164,1.493449e-06
58.839,0.0,206.61039097816814,1.249689e-06
58.839,0.0,206.60995762355083,1.388195e-06
58.839,0.0,206.6095508727779,1.356922e-06
