Y_dimension(mm),Button,True_depth(m),meas
89.55,0.0,212.9352734375,1.033705e-08
89.55,0.0,212.9350234375,1.033375e-08
89.55,0.0,212.9347734375,1.042555e-08
89.55,0.0,212.93452343750002,1.04058e-08
89.55,0.0,212.93427343750002,1.048365e-08
89.55,0.0,212.9340234375,1.053035e-08
89.55,0.0,212.9337734375,1.03135e-08
89.55,0.0,212.9335234375,1.042515e-08
89.55,0.0,212.93327343750002,1.03958e-08
89.55,0.0,212.93302343750003,1.028135e-08
89.55,0.0,212.9327734375,1.03288e-08
89.55,0.0,212.9325234375,1.047295e-08
89.55,0.0,212.93227343750002,1.0306e-08
89.55,0.0,212.93202343750002,1.012707e-08
89.55,0.0,212.9317734375,1.02716e-08
89.55,0.0,212.9315234375,1.033535e-08
89.55,0.0,212.9312734375,1.01843e-08
89.55,0.0,212.93102343750002,1.02446e-08
89.55,0.0,212.93077343750002,1.00924e-08
89.55,0.0,212.9305234375,1.0281300000000001e-08
89.55,0.0,212.9302734375,1.042155e-08
89.55,0.0,212.9300234375,1.02413e-08
89.55,0.0,212.92977343750002,1.03606e-08
89.55,0.0,212.92952343750002,1.019895e-08
89.55,0.0,212.9292734375,1.02456e-08
89.55,0.0,212.9290234375,1.030115e-08
89.55,0.0,212.9287734375,1.00713e-08
89.55,0.0,212.92852343750002,1.02842e-08
89.55,0.0,212.92827343750002,1.01469e-08
89.55,0.0,212.9280234375,1.03974e-08
89.55,0.0,212.9277734375,1.03397e-08
89.55,0.0,212.9275234375,1.044915e-08
89.55,0.0,212.92727343750002,1.03908e-08
89.55,0.0,212.92702343750003,1.05217e-08
89.55,0.0,212.9267734375,1.03006e-08
89.55,0.0,212.9265234375,1.054105e-08
89.55,0.0,212.92627343750002,1.024725e-08
89.55,0.0,212.92602343750002,1.01133e-08
89.55,0.0,212.9257734375,1.02591e-08
89.55,0.0,212.9255234375,1.0302e-08
89.55,0.0,212.9252734375,1.04669e-08
89.55,0.0,212.92502343750002,1.03494e-08
89.55,0.0,212.92477343750002,9.76175e-09
89.55,0.0,212.9245234375,1.03024e-08
89.55,0.0,212.9242734375,1.04306e-08
89.55,0.0,212.9240234375,1.027075e-08
89.55,0.0,212.92377343750002,1.0302e-08
89.55,0.0,212.92352343750002,1.03826e-08
89.55,0.0,212.9232734375,1.0421e-08
89.55,0.0,212.9230234375,1.04849e-08
89.55,0.0,212.9227734375,1.06371e-08
89.55,0.0,212.92252343750002,1.05361e-08
89.55,0.0,212.92227343750002,1.04476e-08
89.55,0.0,212.9220234375,1.07104e-08
89.55,0.0,212.9217734375,1.05225e-08
89.55,0.0,212.9215234375,1.07715e-08
89.55,0.0,212.92127343750002,1.079825e-08
89.55,0.0,212.92102343750003,1.03196e-08
89.55,0.0,212.9207734375,1.09287e-08
89.55,0.0,212.9205234375,1.0725e-08
89.55,0.0,212.92027343750001,1.1014e-08
89.55,0.0,212.92002343750002,1.067165e-08
89.55,0.0,212.91977343750003,1.08283e-08
89.55,0.0,212.9195234375,1.086335e-08
89.55,0.0,212.9192734375,1.08832e-08
89.55,0.0,212.91902343750002,1.08558e-08
89.55,0.0,212.91877343750002,1.08859e-08
89.55,0.0,212.9185234375,1.09224e-08
89.55,0.0,212.9182734375,1.09694e-08
89.55,0.0,212.9180234375,1.08902e-08
89.55,0.0,212.91777343750002,1.103845e-08
89.55,0.0,212.91752343750002,1.11906e-08
89.55,0.0,212.9172734375,1.092885e-08
89.55,0.0,212.9170234375,1.11278e-08
89.55,0.0,212.9167734375,1.099785e-08
89.55,0.0,212.91652343750002,1.13823e-08
89.55,0.0,212.91627343750002,1.09575e-08
89.55,0.0,212.9160234375,1.10541e-08
89.55,0.0,212.9157734375,1.11858e-08
89.55,0.0,212.9155234375,1.12667e-08
89.55,0.0,212.91527343750002,1.09738e-08
89.55,0.0,212.91502343750003,1.09388e-08
89.55,0.0,212.9147734375,1.08652e-08
89.55,0.0,212.9145234375,1.101485e-08
89.55,0.0,212.91427343750001,1.108795e-08
89.55,0.0,212.91402343750002,1.11859e-08
89.55,0.0,212.91377343750003,1.09948e-08
89.55,0.0,212.9135234375,1.097245e-08
89.55,0.0,212.9132734375,1.08968e-08
89.55,0.0,212.91302343750002,1.11841e-08
89.55,0.0,212.91277343750002,1.11895e-08
89.55,0.0,212.9125234375,1.097025e-08
89.55,0.0,212.9122734375,1.0846e-08
89.55,0.0,212.9120234375,1.12239e-08
89.55,0.0,212.91177343750002,1.10862e-08
89.55,0.0,212.91152343750002,1.101095e-08
89.55,0.0,212.9112734375,1.13028e-08
89.55,0.0,212.9110234375,1.13153e-08
89.55,0.0,212.9107734375,1.12924e-08
89.55,0.0,212.91052343750002,1.1144e-08
89.55,0.0,212.91027343750002,1.13568e-08
89.55,0.0,212.9100234375,1.08322e-08
89.55,0.0,212.9097734375,1.1296e-08
89.55,0.0,212.9095234375,1.1361e-08
89.55,0.0,212.90927343750002,1.12014e-08
89.55,0.0,212.90902343750003,1.14742e-08
89.55,0.0,212.9087734375,1.1199e-08
89.55,0.0,212.9085234375,1.13764e-08
89.55,0.0,212.90827343750001,1.13864e-08
89.55,0.0,212.90802343750002,1.14584e-08
89.55,0.0,212.90777343750003,1.12681e-08
89.55,0.0,212.9075234375,1.13989e-08
89.55,0.0,212.9072734375,1.15225e-08
89.55,0.0,212.90702343750002,1.16641e-08
89.55,0.0,212.90677343750002,1.18829e-08
89.55,0.0,212.9065234375,1.15334e-08
89.55,0.0,212.9062734375,1.155005e-08
89.55,0.0,212.9060234375,1.16272e-08
89.55,0.0,212.90577343750002,1.18265e-08
89.55,0.0,212.90552343750002,1.19817e-08
89.55,0.0,212.9052734375,1.173065e-08
89.55,0.0,212.9050234375,1.1814e-08
89.55,0.0,212.9047734375,1.17975e-08
89.55,0.0,212.90452343750002,1.16605e-08
89.55,0.0,212.90427343750002,1.181575e-08
89.55,0.0,212.9040234375,1.18716e-08
89.55,0.0,212.9037734375,1.193885e-08
89.55,0.0,212.9035234375,1.188435e-08
89.55,0.0,212.90327343750002,1.19205e-08
89.55,0.0,212.90302343750002,1.19896e-08
89.55,0.0,212.9027734375,1.201325e-08
89.55,0.0,212.9025234375,1.20843e-08
89.55,0.0,212.9022734375,1.20652e-08
89.55,0.0,212.90202343750002,1.19503e-08
89.55,0.0,212.90177343750003,1.19364e-08
89.55,0.0,212.9015234375,1.213605e-08
89.55,0.0,212.9012734375,1.21256e-08
89.55,0.0,212.90102343750002,1.185315e-08
89.55,0.0,212.90077343750002,1.19446e-08
89.55,0.0,212.9005234375,1.21172e-08
89.55,0.0,212.9002734375,1.20982e-08
89.55,0.0,212.9000234375,1.1884e-08
89.55,0.0,212.89977343750002,1.21138e-08
89.55,0.0,212.89952343750002,1.22903e-08
89.55,0.0,212.8992734375,1.23217e-08
89.55,0.0,212.8990234375,1.2305750000000001e-08
89.55,0.0,212.8987734375,1.22282e-08
89.55,0.0,212.89852343750002,1.213565e-08
89.55,0.0,212.89827343750002,1.213105e-08
89.55,0.0,212.8980234375,1.2059e-08
89.55,0.0,212.8977734375,1.234875e-08
89.55,0.0,212.8975234375,1.24716e-08
89.55,0.0,212.89727343750002,1.2087e-08
89.55,0.0,212.89702343750002,1.25562e-08
89.55,0.0,212.8967734375,1.23596e-08
89.55,0.0,212.8965234375,1.211495e-08
89.55,0.0,212.8962734375,1.19683e-08
89.55,0.0,212.89602343750002,1.22049e-08
89.55,0.0,212.89577343750003,1.22814e-08
89.55,0.0,212.8955234375,1.20009e-08
89.55,0.0,212.8952734375,1.22242e-08
89.55,0.0,212.89502343750002,1.187795e-08
89.55,0.0,212.89477343750002,1.209425e-08
89.55,0.0,212.8945234375,1.15673e-08
89.55,0.0,212.8942734375,1.19889e-08
89.55,0.0,212.8940234375,1.213305e-08
89.55,0.0,212.89377343750002,1.1875100000000001e-08
89.55,0.0,212.89352343750002,1.15972e-08
89.55,0.0,212.8932734375,1.18061e-08
89.55,0.0,212.8930234375,1.17335e-08
89.55,0.0,212.8927734375,1.297795e-08
89.55,0.0,212.89252343750002,1.149555e-08
89.55,0.0,212.89227343750002,1.16964e-08
89.55,0.0,212.8920234375,1.183745e-08
89.55,0.0,212.8917734375,1.12674e-08
89.55,0.0,212.8915234375,1.129555e-08
89.55,0.0,212.89127343750002,1.10183e-08
89.55,0.0,212.89102343750002,1.09802e-08
89.55,0.0,212.8907734375,1.103945e-08
89.55,0.0,212.8905234375,1.102355e-08
89.55,0.0,212.8902734375,1.08905e-08
89.55,0.0,212.89002343750002,1.07724e-08
89.55,0.0,212.88977343750003,1.07698e-08
89.55,0.0,212.8895234375,1.083235e-08
89.55,0.0,212.8892734375,1.09672e-08
89.55,0.0,212.88902343750001,1.071935e-08
89.55,0.0,212.88877343750002,1.05456e-08
89.55,0.0,212.88852343750003,1.07405e-08
89.55,0.0,212.8882734375,1.06468e-08
89.55,0.0,212.8880234375,1.02312e-08
89.55,0.0,212.88777343750002,1.01779e-08
89.55,0.0,212.88752343750002,1.05874e-08
89.55,0.0,212.8872734375,1.04094e-08
89.55,0.0,212.8870234375,1.012155e-08
89.55,0.0,212.8867734375,1.06596e-08
