Y_dimension(mm),Button,True_depth(m),meas
92.117,0.0,212.9352734375,2.566827e-05
92.117,0.0,212.9352734375,-3.42002e-06
92.117,0.0,212.9352734375,-2.506538e-06
92.117,0.0,212.93511531898338,-1.928041e-06
92.117,0.0,212.93492501589134,-1.486987e-06
92.117,0.0,212.93469180485937,-1.140463e-06
92.117,0.0,212.93443667597526,-8.723582e-07
92.117,0.0,212.93412789830182,-6.610935e-07
92.117,0.0,212.93379935739372,-4.840549e-07
92.117,0.0,212.9333791050617,-3.463647e-07
92.117,0.0,212.93296226816773,-2.558081e-07
92.117,0.0,212.93256355060353,-1.862354e-07
92.117,0.0,212.93212526793548,-1.313892e-07
92.117,0.0,212.9316899342574,-9.42382e-08
92.117,0.0,212.93129111368498,-6.674964e-08
92.117,0.0,212.93086315968748,-4.554749e-08
92.117,0.0,212.93044370103004,-2.438901e-08
92.117,0.0,212.93003820173828,-1.549779e-08
92.117,0.0,212.92960069361953,-5.558832e-09
92.117,0.0,212.92920448636832,8.003553e-10
92.117,0.0,212.92877396423833,8.978532e-09
92.117,0.0,212.92836455729034,1.251465e-08
92.117,0.0,212.92795956133574,1.327135e-08
92.117,0.0,212.92752832159061,2.011075e-08
92.117,0.0,212.927126164051,2.575689e-08
92.117,0.0,212.9266867140033,2.747402e-08
92.117,0.0,212.9262872476267,2.929301e-08
92.117,0.0,212.92586741823314,2.619345e-08
92.117,0.0,212.92545380726284,2.932211e-08
92.117,0.0,212.92505609685662,2.780871e-08
92.117,0.0,212.92461452744482,2.741581e-08
92.117,0.0,212.92420905122114,3.464811e-08
92.117,0.0,212.92377183835032,3.282912e-08
92.117,0.0,212.92333925956007,3.093737e-08
92.117,0.0,212.92295418136962,2.711022e-08
92.117,0.0,212.9225343055246,2.77505e-08
92.117,0.0,212.92208288438496,2.828892e-08
92.117,0.0,212.9216594613923,2.597517e-08
92.117,0.0,212.92125567066347,2.504385e-08
92.117,0.0,212.9208231618625,2.550951e-08
92.117,0.0,212.92039756634867,2.904562e-08
92.117,0.0,212.92001500622916,2.844899e-08
92.117,0.0,212.9195730430132,2.841989e-08
92.117,0.0,212.91913721338736,2.840534e-08
92.117,0.0,212.91873862823033,2.786692e-08
92.117,0.0,212.91830717903383,2.81434e-08
92.117,0.0,212.917922454771,2.559682e-08
92.117,0.0,212.9174982872702,2.804154e-08
92.117,0.0,212.91710197413113,2.709567e-08
92.117,0.0,212.91666351698518,2.96568e-08
92.117,0.0,212.9162597968681,2.705201e-08
92.117,0.0,212.91582571183056,2.142042e-08
92.117,0.0,212.91544542520774,2.574234e-08
92.117,0.0,212.91501402255403,2.574234e-08
92.117,0.0,212.91459597563554,2.722663e-08
92.117,0.0,212.914170075493,2.716843e-08
92.117,0.0,212.91376573171462,2.468005e-08
92.117,0.0,212.91332115548877,2.769229e-08
92.117,0.0,212.91291541002713,2.665911e-08
92.117,0.0,212.91248937271996,2.828892e-08
92.117,0.0,212.9120807786062,2.668821e-08
92.117,0.0,212.9116471010939,2.485467e-08
92.117,0.0,212.9112136252993,2.828892e-08
92.117,0.0,212.91080399580386,2.780871e-08
92.117,0.0,212.91037640886137,3.012246e-08
92.117,0.0,212.90996812103492,2.625166e-08
92.117,0.0,212.9095649047166,2.479646e-08
92.117,0.0,212.90912263197777,2.409797e-08
92.117,0.0,212.90872287167326,2.323941e-08
92.117,0.0,212.9082654600408,2.488378e-08
92.117,0.0,212.90790002384608,2.564047e-08
92.117,0.0,212.9074742400123,2.85072e-08
92.117,0.0,212.90707269884078,2.355955e-08
92.117,0.0,212.90663382495518,2.373417e-08
92.117,0.0,212.90624123773665,2.217712e-08
92.117,0.0,212.9058029598685,2.478191e-08
92.117,0.0,212.90538268515223,2.435991e-08
92.117,0.0,212.90499007372262,2.229353e-08
92.117,0.0,212.90455449321294,2.479646e-08
92.117,0.0,212.9041530278716,2.427259e-08
92.117,0.0,212.90371183090187,3.003515e-08
92.117,0.0,212.90330796649934,2.722663e-08
92.117,0.0,212.90288331379975,2.296292e-08
92.117,0.0,212.90245481058201,2.451998e-08
92.117,0.0,212.902056914398,2.387969e-08
92.117,0.0,212.9016232118066,2.80852e-08
92.117,0.0,212.9011811579839,2.716843e-08
92.117,0.0,212.90077701621414,2.81434e-08
92.117,0.0,212.900340534555,3.527384e-08
92.117,0.0,212.89992839033246,3.748573e-08
92.117,0.0,212.89950383246745,4.396134e-08
92.117,0.0,212.89910212898224,4.854519e-08
92.117,0.0,212.8986780327889,5.816401e-08
92.117,0.0,212.89826574727454,7.383642e-08
92.117,0.0,212.89783574369463,7.948256e-08
92.117,0.0,212.89746231002783,1.010922e-07
92.117,0.0,212.89703479131916,1.032167e-07
92.117,0.0,212.89661782880256,1.16459e-07
92.117,0.0,212.89619594646567,1.200096e-07
92.117,0.0,212.89576095058928,1.313601e-07
92.117,0.0,212.895370934322,1.306616e-07
92.117,0.0,212.89495304758657,1.38316e-07
92.117,0.0,212.89455047862137,1.576991e-07
92.117,0.0,212.89411551189318,1.361914e-07
92.117,0.0,212.893668156885,1.813605e-07
92.117,0.0,212.89327767592584,1.673034e-07
92.117,0.0,212.8928470769293,1.540757e-07
92.117,0.0,212.89241952220962,1.528242e-07
92.117,0.0,212.89203133219286,1.530716e-07
92.117,0.0,212.8915919193828,1.631997e-07
92.117,0.0,212.89116387915072,1.724693e-07
92.117,0.0,212.89072793865958,2.030865e-07
92.117,0.0,212.89032845982697,2.205488e-07
92.117,0.0,212.889910234697,1.98881e-07
92.117,0.0,212.88948682367888,1.98459e-07
92.117,0.0,212.88908924828627,2.267188e-07
92.117,0.0,212.88865074637943,2.572633e-07
92.117,0.0,212.88824935224724,2.960005e-07
92.117,0.0,212.88781424232616,3.072637e-07
92.117,0.0,212.8874274160357,2.693414e-07
92.117,0.0,212.88699787861128,2.329762e-07
92.117,0.0,212.88657929528324,2.245361e-07
92.117,0.0,212.88616217955186,2.342276e-07
92.117,0.0,212.88574083046802,2.299348e-07
92.117,0.0,212.885323527524,2.222514e-07
92.117,0.0,212.8849112895127,2.011948e-07
92.117,0.0,212.88452010688928,1.682056e-07
92.117,0.0,212.8840819780956,1.942826e-07
92.117,0.0,212.88366051531258,1.956505e-07
92.117,0.0,212.88324184173555,2.025627e-07
92.117,0.0,212.88281171759553,1.964654e-07
92.117,0.0,212.88237378577588,1.730805e-07
92.117,0.0,212.88199846552294,1.516164e-07
92.117,0.0,212.88155173342068,1.434964e-07
92.117,0.0,212.8811261985529,1.564622e-07
92.117,0.0,212.8807227601418,1.717854e-07
92.117,0.0,212.880284529368,1.513108e-07
92.117,0.0,212.87985598265155,1.175795e-07
92.117,0.0,212.87947222631936,8.876668e-08
92.117,0.0,212.87904383476842,7.858034e-08
92.117,0.0,212.87860813300554,8.330971e-08
92.117,0.0,212.8782062868396,7.680501e-08
92.117,0.0,212.87776702714595,6.433402e-08
92.117,0.0,212.87738223744705,5.801849e-08
92.117,0.0,212.87696530005746,5.250331e-08
92.117,0.0,212.87656536183277,5.062611e-08
92.117,0.0,212.87614867236724,4.797766e-08
92.117,0.0,212.87572839072837,4.487811e-08
92.117,0.0,212.87528899255489,4.624599e-08
92.117,0.0,212.87490141019921,4.049798e-08
92.117,0.0,212.87447745658028,3.846071e-08
92.117,0.0,212.8740745237743,3.897003e-08
92.117,0.0,212.87363226727282,3.974128e-08
