Y_dimension(mm),Button,True_depth(m),meas
76.281,0.0,213.06436093750003,1.18174e-08
76.281,0.0,213.0641109375,1.196495e-08
76.281,0.0,213.0638609375,1.20617e-08
76.281,0.0,213.06361093750002,1.18764e-08
76.281,0.0,213.06336093750002,1.18654e-08
76.281,0.0,213.0631109375,1.160115e-08
76.281,0.0,213.0628609375,1.15087e-08
76.281,0.0,213.0626109375,1.18118e-08
76.281,0.0,213.06236093750002,1.18785e-08
76.281,0.0,213.06211093750002,1.148985e-08
76.281,0.0,213.0618609375,1.166185e-08
76.281,0.0,213.0616109375,1.17114e-08
76.281,0.0,213.0613609375,1.1237e-08
76.281,0.0,213.06111093750002,1.1466050000000001e-08
76.281,0.0,213.06086093750002,1.13167e-08
76.281,0.0,213.0606109375,1.146525e-08
76.281,0.0,213.0603609375,1.10621e-08
76.281,0.0,213.0601109375,1.129685e-08
76.281,0.0,213.05986093750002,1.13215e-08
76.281,0.0,213.05961093750003,1.12815e-08
76.281,0.0,213.0593609375,1.12263e-08
76.281,0.0,213.0591109375,1.12438e-08
76.281,0.0,213.05886093750001,1.12336e-08
76.281,0.0,213.05861093750002,1.12641e-08
76.281,0.0,213.05836093750003,1.08246e-08
76.281,0.0,213.0581109375,1.12615e-08
76.281,0.0,213.0578609375,1.1346e-08
76.281,0.0,213.05761093750002,1.14246e-08
76.281,0.0,213.05736093750002,1.11744e-08
76.281,0.0,213.0571109375,1.1255e-08
76.281,0.0,213.0568609375,1.1292150000000001e-08
76.281,0.0,213.0566109375,1.150385e-08
76.281,0.0,213.05636093750002,1.12067e-08
76.281,0.0,213.05611093750002,1.13076e-08
76.281,0.0,213.0558609375,1.11711e-08
76.281,0.0,213.0556109375,1.117985e-08
76.281,0.0,213.0553609375,1.12483e-08
76.281,0.0,213.05511093750002,1.111325e-08
76.281,0.0,213.05486093750002,1.11531e-08
76.281,0.0,213.0546109375,1.11804e-08
76.281,0.0,213.0543609375,1.11559e-08
76.281,0.0,213.0541109375,1.12193e-08
76.281,0.0,213.05386093750002,1.1177e-08
76.281,0.0,213.05361093750003,1.1191750000000002e-08
76.281,0.0,213.0533609375,1.08917e-08
76.281,0.0,213.0531109375,1.091875e-08
76.281,0.0,213.05286093750001,1.10773e-08
76.281,0.0,213.05261093750002,1.09653e-08
76.281,0.0,213.05236093750003,1.11067e-08
76.281,0.0,213.0521109375,1.08944e-08
76.281,0.0,213.0518609375,1.09094e-08
76.281,0.0,213.05161093750002,1.07106e-08
76.281,0.0,213.05136093750002,1.07001e-08
76.281,0.0,213.0511109375,1.080455e-08
76.281,0.0,213.0508609375,1.09074e-08
76.281,0.0,213.0506109375,1.09042e-08
76.281,0.0,213.05036093750002,1.08374e-08
76.281,0.0,213.05011093750002,1.06894e-08
76.281,0.0,213.0498609375,1.06351e-08
76.281,0.0,213.0496109375,1.05501e-08
76.281,0.0,213.0493609375,1.07654e-08
76.281,0.0,213.04911093750002,1.08095e-08
76.281,0.0,213.04886093750002,1.050585e-08
76.281,0.0,213.0486109375,1.0657e-08
76.281,0.0,213.0483609375,1.049945e-08
76.281,0.0,213.0481109375,1.04066e-08
76.281,0.0,213.04786093750002,1.04913e-08
76.281,0.0,213.04761093750002,1.08257e-08
76.281,0.0,213.0473609375,1.05922e-08
76.281,0.0,213.0471109375,1.045085e-08
76.281,0.0,213.0468609375,1.05518e-08
76.281,0.0,213.04661093750002,1.05022e-08
76.281,0.0,213.04636093750003,1.042775e-08
76.281,0.0,213.0461109375,1.04554e-08
76.281,0.0,213.0458609375,1.03171e-08
76.281,0.0,213.04561093750002,1.04066e-08
76.281,0.0,213.04536093750002,1.03864e-08
76.281,0.0,213.0451109375,1.047615e-08
76.281,0.0,213.0448609375,1.041629e-08
76.281,0.0,213.0446109375,1.01108e-08
76.281,0.0,213.04436093750002,1.022055e-08
76.281,0.0,213.04411093750002,1.04015e-08
76.281,0.0,213.0438609375,9.94661e-09
76.281,0.0,213.0436109375,1.00839e-08
76.281,0.0,213.0433609375,1.0189e-08
76.281,0.0,213.04311093750002,1.01975e-08
76.281,0.0,213.04286093750002,1.0273100000000001e-08
76.281,0.0,213.0426109375,1.01135e-08
76.281,0.0,213.0423609375,1.0085975e-08
76.281,0.0,213.0421109375,9.95034e-09
76.281,0.0,213.04186093750002,1.01126e-08
76.281,0.0,213.04161093750002,9.988635e-09
76.281,0.0,213.0413609375,1.00129e-08
76.281,0.0,213.0411109375,1.009335e-08
76.281,0.0,213.0408609375,9.90003e-09
76.281,0.0,213.04061093750002,1.00816e-08
76.281,0.0,213.04036093750003,9.965045e-09
76.281,0.0,213.0401109375,9.919275e-09
76.281,0.0,213.0398609375,9.873705000000002e-09
76.281,0.0,213.03961093750002,9.932225e-09
76.281,0.0,213.03936093750002,9.84625e-09
76.281,0.0,213.0391109375,9.96172e-09
76.281,0.0,213.0388609375,9.83266e-09
76.281,0.0,213.0386109375,9.972585e-09
76.281,0.0,213.03836093750002,9.9618e-09
76.281,0.0,213.03811093750002,9.893775e-09
76.281,0.0,213.0378609375,1.00249e-08
76.281,0.0,213.0376109375,9.847175e-09
76.281,0.0,213.0373609375,9.718275e-09
76.281,0.0,213.03711093750002,9.731495e-09
76.281,0.0,213.03686093750002,9.779635e-09
76.281,0.0,213.0366109375,9.88391e-09
76.281,0.0,213.0363609375,1.017535e-08
76.281,0.0,213.0361109375,9.647535e-09
