Y_dimension(mm),Button,True_depth(m),meas
72.503,0.0,213.06436093750003,2.551575e-05
72.503,0.0,213.06436093750003,-3.578316e-06
72.503,0.0,213.06436093750003,-2.599045e-06
72.503,0.0,213.06421200036496,-1.991502e-06
72.503,0.0,213.06403050181652,-1.535736e-06
72.503,0.0,213.0637885950489,-1.18115e-06
72.503,0.0,213.0635295464175,-9.065116e-07
72.503,0.0,213.06323293960747,-6.892224e-07
72.503,0.0,213.0628797063741,-5.137699e-07
72.503,0.0,213.06250322649873,-3.843743e-07
72.503,0.0,213.0621091243261,-2.825691e-07
72.503,0.0,213.06166873291545,-2.035813e-07
72.503,0.0,213.06126148986849,-1.55298e-07
72.503,0.0,213.060820430028,-1.11846e-07
72.503,0.0,213.06042047713518,-7.252675e-08
72.503,0.0,213.0599855354169,-4.620233e-08
72.503,0.0,213.05958691173004,-2.667366e-08
72.503,0.0,213.05914874192152,-1.445005e-08
72.503,0.0,213.058737098912,-4.365575e-10
72.503,0.0,213.05829442582598,1.059379e-08
72.503,0.0,213.05787281512977,1.123408e-08
72.503,0.0,213.05745841300347,1.638546e-08
72.503,0.0,213.0570598262967,1.999433e-08
72.503,0.0,213.056633539885,2.421439e-08
72.503,0.0,213.0561996100531,2.460729e-08
72.503,0.0,213.05578028872392,2.383604e-08
72.503,0.0,213.05533941607757,2.628076e-08
72.503,0.0,213.05494312874097,2.440356e-08
72.503,0.0,213.05453196630262,2.290471e-08
72.503,0.0,213.05413264612014,2.741581e-08
72.503,0.0,213.0537226738624,3.330933e-08
72.503,0.0,213.0533018396149,3.215973e-08
72.503,0.0,213.05286767305572,2.945308e-08
72.503,0.0,213.0524747711648,3.127207e-08
72.503,0.0,213.0520731352696,3.012246e-08
72.503,0.0,213.05164459324263,3.223249e-08
72.503,0.0,213.0512339061814,2.954039e-08
72.503,0.0,213.050820785083,3.217428e-08
72.503,0.0,213.05038663017353,3.614696e-08
72.503,0.0,213.04998707677146,3.266905e-08
72.503,0.0,213.0495496662568,3.507012e-08
72.503,0.0,213.0491307612516,4.356843e-08
72.503,0.0,213.04871432831013,5.436596e-08
72.503,0.0,213.04828411143637,5.275069e-08
72.503,0.0,213.04785653244065,5.186303e-08
72.503,0.0,213.04742311351913,5.913898e-08
